year,month,day,extended,state,city,attack_type,target_type,nationality,weapon_type
2016,Nov,Sat,0,Borno,Makalama,Bombing/Explosion,Private Citizens & Property,Nigeria,Explosives
2012,Nov,Fri,0,Yobe,Potiskum,Armed Assault,Business,Nigeria,Firearms
2012,Oct,Wed,0,Yobe,Potiskum,Armed Assault,Government (General),Nigeria,Firearms
1996,Dec,Mon,0,Lagos,Lagos,Assassination,Military,Nigeria,Explosives
2019,Jan,Thu,0,Borno,Unknown,Armed Assault,Military,Nigeria,Firearms
2017,Apr,Wed,0,Borno,Mandarari,Bombing/Explosion,Private Citizens & Property,Nigeria,Explosives
2014,Mar,Wed,0,Borno,Maiduguri,Bombing/Explosion,Private Citizens & Property,Nigeria,Explosives
2013,Sep,Sun,0,Yobe,Gujba,Armed Assault,Educational Institution,Nigeria,Firearms
2015,Dec,Sun,0,Borno,Maiduguri,Bombing/Explosion,Business,Nigeria,Explosives
2012,Dec,Tue,0,Yobe,Potiskum,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2021,Mar,Tue,0,Delta,Ashaka,Armed Assault,Police,Nigeria,Firearms
2011,Mar,Tue,0,Borno,Maiduguri,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2012,Jul,Sat,0,Plateau,Kakuruk,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2015,Mar,Sun,0,Borno,Kukawa district,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2020,Aug,Sun,0,Niger,Ashirika,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2012,Jun,Sun,0,Kaduna,Zaria,Bombing/Explosion,Religious Figures/Institutions,Nigeria,Explosives
2019,Jul,Sun,0,Katsina,Pawwa,Armed Assault,Private Citizens & Property,Nigeria,Explosives
2017,Apr,Sat,0,Borno,Maiduguri,Bombing/Explosion,Military,Nigeria,Explosives
2017,Nov,Tue,0,Borno,Maiduguri,Bombing/Explosion,Private Citizens & Property,Nigeria,Explosives
2009,Aug,Fri,0,Bayelsa,Nembe district,Bombing/Explosion,Utilities,Netherlands,Explosives
2012,Jan,Fri,0,Yobe,Dowara Mashara,Armed Assault,Business,Nigeria,Firearms
2014,Feb,Mon,1,Bauchi,Darazo,Hostage Taking (Kidnapping),Private Citizens & Property,Nigeria,Firearms
2016,Jun,Wed,1,Cross River,Calabar,Hostage Taking (Kidnapping),Business,Multinational,Firearms
2017,Jan,Sun,0,Kaduna,Gidan Waya,Armed Assault,Transportation,Nigeria,Firearms
2012,May,Tue,0,Borno,Maiduguri,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2015,May,Wed,0,Borno,Maiduguri,Bombing/Explosion,Military,Nigeria,Explosives
2015,Jul,Wed,1,Borno,Kukawa district,Armed Assault,Private Citizens & Property,Nigeria,Explosives
2016,Jul,Sat,0,Benue,Tom Anyiin,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2018,Jun,Sun,0,Plateau,Gindin Akwati,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2021,Feb,Mon,0,Plateau,Riyom district,Unknown,Private Citizens & Property,Nigeria,Unknown
2018,Dec,Mon,0,Yobe,Kukareta,Armed Assault,Military,Nigeria,Firearms
2021,Aug,Fri,1,Kwara,Faje,Hostage Taking (Kidnapping),Private Citizens & Property,Nigeria,Unknown
2017,May,Sun,0,Taraba,Tukun Ruwa,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2013,Dec,Wed,0,Adamawa,Mubi,Armed Assault,Business,Nigeria,Firearms
2013,Mar,Sat,0,Borno,Fadagwai,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2021,Oct,Mon,0,Borno,Damasak,Armed Assault,Military,Nigeria,Firearms
2021,Feb,Wed,0,Edo,Yoruba,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2013,Oct,Tue,0,Benue,Ukum district,Assassination,Government (General),Nigeria,Firearms
2014,Oct,Sun,0,Borno,Damboa,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2016,Apr,Thu,0,Delta,Makaraba,Bombing/Explosion,Utilities,Nigeria,Explosives
2017,Nov,Thu,0,Adamawa,Sabon Gari,Hostage Taking (Barricade Incident),Private Citizens & Property,Nigeria,Firearms
2010,Oct,Tue,0,Borno,Maiduguri,Armed Assault,Police,Namibia,Firearms
2011,Apr,Sat,0,Kaduna,Kaduna,Bombing/Explosion,Business,Nigeria,Explosives
2016,Jan,Sun,0,Adamawa,Tabongo,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2020,Oct,Wed,0,Rivers,Afam,Armed Assault,Police,Nigeria,Firearms
2014,Apr,Thu,0,Bauchi,Misau,Armed Assault,Government (General),Nigeria,Firearms
2014,May,Tue,0,Borno,Garawa,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2015,Sep,Sun,0,Borno,Mailari,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2020,Nov,Wed,0,Borno,Miyanti,Unknown,Military,Nigeria,Unknown
2015,Jun,Sat,0,Borno,Maiduguri,Bombing/Explosion,Business,Nigeria,Explosives
2015,Mar,Wed,0,Rivers,Unknown,Facility/Infrastructure Attack,Private Citizens & Property,Nigeria,Incendiary
2015,Feb,Thu,0,Adamawa,Zange,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2019,Jun,Sun,1,Edo,Akoko-Edo district,Hostage Taking (Kidnapping),Religious Figures/Institutions,Nigeria,Firearms
2017,May,Thu,0,Adamawa,Gurjango,Unknown,Private Citizens & Property,Nigeria,Unknown
2021,Apr,Sun,0,Borno,Mainok,Armed Assault,Military,Nigeria,Explosives
2021,Apr,Thu,1,Kwara,Oke Onigbin,Hostage Taking (Kidnapping),Private Citizens & Property,Nigeria,Firearms
2012,Feb,Tue,0,Borno,Maiduguri,Bombing/Explosion,Educational Institution,Nigeria,Explosives
2012,Mar,Wed,0,Yobe,Damagum,Bombing/Explosion,Police,Nigeria,Explosives
2017,Nov,Mon,0,Borno,Yale,Armed Assault,Terrorists/Non-State Militia,Nigeria,Firearms
2020,Jul,Sun,0,Kaduna,Kaura,Facility/Infrastructure Attack,Police,Nigeria,Incendiary
2008,Mar,Sat,0,Rivers,Port Harcourt,Bombing/Explosion,Military,Nigeria,Explosives
2012,Oct,Mon,0,Yobe,Potiskum,Armed Assault,Police,Nigeria,Firearms
2014,Apr,Tue,0,Benue,Obagaji,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2014,Jun,Sun,0,Kaduna,Kaduna,Armed Assault,Police,Nigeria,Firearms
2014,May,Wed,0,Kaduna,Kurumin Dodo,Armed Assault,Private Citizens & Property,Nigeria,Melee
2019,Feb,Sat,0,Rivers,Asarama,Assassination,Private Citizens & Property,Nigeria,Firearms
2006,Apr,Wed,0,Rivers,Port Harcourt,Bombing/Explosion,Military,Nigeria,Explosives
2017,Sep,Wed,0,Borno,Goram,Facility/Infrastructure Attack,Private Citizens & Property,Nigeria,Incendiary
2014,May,Wed,0,Borno,Chibok,Armed Assault,Military,Nigeria,Firearms
2014,Jul,Wed,0,Borno,Gamboru Ngala,Assassination,Private Citizens & Property,Nigeria,Firearms
2014,Nov,Thu,0,Borno,Chibok,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2014,Jan,Sun,1,Yobe,Damaturu,Hostage Taking (Kidnapping),Government (General),Nigeria,Explosives
2020,May,Mon,0,Borno,Dakwaima,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2016,Mar,Sun,0,Benue,Bwarer,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2018,Feb,Wed,0,Zamfara,Birane,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2017,Aug,Thu,0,Borno,Mallam Moduri,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2021,May,Sun,0,Enugu,Amoka,Armed Assault,Military,Nigeria,Firearms
2012,Nov,Wed,0,Borno,Rann,Facility/Infrastructure Attack,Educational Institution,Nigeria,Unknown
2019,May,Tue,0,Plateau,Danwal,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2016,Sep,Fri,0,Cross River,Bakassi district,Armed Assault,Military,Nigeria,Explosives
2015,Dec,Sun,0,Borno,Warawara,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2012,Aug,Mon,0,Borno,Maiduguri,Bombing/Explosion,Unknown,Nigeria,Explosives
2014,Mar,Sun,0,Kaduna,Zagan,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2020,Jan,Mon,0,Kwara,Otte,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2012,Sep,Mon,0,Borno,Bama,Assassination,Government (General),Nigeria,Firearms
2021,Jan,Sun,0,Borno,Marte,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2016,Dec,Fri,1,Niger,Dogongona,Hostage Taking (Kidnapping),Private Citizens & Property,Nigeria,Firearms
2016,Jul,Thu,0,Lagos,Ikorodu,Armed Assault,Private Citizens & Property,Nigeria,Firearms
1988,Mar,Sun,0,Lagos,Lagos,Assassination,Educational Institution,Saudi Arabia,Firearms
2016,Jan,Sun,0,Adamawa,Ndikajam,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2014,Feb,Sun,0,Borno,Maiduguri,Assassination,Government (General),Nigeria,Firearms
2007,Jan,Thu,0,Bayelsa,Sagbama,Hostage Taking (Kidnapping),Business,China,Firearms
2020,May,Wed,1,Kaduna,Ungwan Shaban,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2014,Aug,Mon,0,Taraba,Jibu,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2016,Mar,Thu,0,Rivers,Abonnema,Armed Assault,Military,Nigeria,Firearms
2018,Feb,Thu,0,Borno,Dalori,Bombing/Explosion,Private Citizens & Property,Nigeria,Explosives
2014,Apr,Sun,0,Bauchi,Yana,Facility/Infrastructure Attack,Police,Nigeria,Incendiary
2015,Feb,Sat,0,Borno,Malari,Bombing/Explosion,Religious Figures/Institutions,Nigeria,Explosives
2016,Dec,Mon,0,Delta,Ohoro,Unknown,Private Citizens & Property,Nigeria,Unknown
1983,Nov,Fri,0,Unknown,Unknown,Assassination,Government (General),Nigeria,Unknown
2019,Jul,Tue,1,Ogun,Ajebo,Hijacking,Business,Nigeria,Unknown
2018,Aug,Thu,1,Cross River,Asari Eso Layout,Hostage Taking (Kidnapping),Violent Political Party,Nigeria,Firearms
2013,May,Thu,0,Borno,Maiduguri,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2019,Jan,Mon,1,Abia,Unknown,Hostage Taking (Kidnapping),Government (General),Nigeria,Firearms
2014,Apr,Sun,0,Enugu,Enugu,Hostage Taking (Barricade Incident),Journalists & Media,Nigeria,Firearms
2011,Nov,Sun,0,Borno,Maiduguri,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2014,May,Mon,0,Plateau,Gida Bua,Armed Assault,Military,Nigeria,Firearms
2015,Apr,Mon,0,Taraba,Ayiase,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2011,Jan,Fri,0,Borno,Maiduguri,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2011,Oct,Wed,0,Borno,Maiduguri,Armed Assault,Police,Nigeria,Firearms
2020,Jan,Thu,0,Borno,Muna Dalti,Bombing/Explosion,Private Citizens & Property,Nigeria,Explosives
2020,May,Sat,1,Delta,Issele-Azagba,Hostage Taking (Kidnapping),Private Citizens & Property,Nigeria,Firearms
2010,Mar,Fri,0,Plateau,Jos district,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2013,Aug,Wed,1,Edo,Benin,Hostage Taking (Kidnapping),Business,Nigeria,Firearms
2017,Oct,Thu,0,Benue,Mbaya,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2012,May,Sat,0,Borno,Maiduguri,Assassination,Government (General),Nigeria,Firearms
2014,Jul,Wed,0,Borno,Buratai,Armed Assault,Military,Nigeria,Firearms
2013,Dec,Tue,0,Plateau,Maikatako,Armed Assault,Religious Figures/Institutions,Nigeria,Firearms
2015,Jul,Sun,0,Zamfara,Mashema,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2012,Jul,Sun,0,Kogi,Okene district,Armed Assault,Religious Figures/Institutions,Nigeria,Firearms
2012,Feb,Fri,0,Adamawa,Mubi,Armed Assault,Educational Institution,Nigeria,Firearms
2018,Jan,Wed,0,Benue,Logo district,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2015,Feb,Tue,0,Abuja,Kuje,Bombing/Explosion,Police,Nigeria,Explosives
2020,Jun,Mon,1,Nasarawa,Ombi,Hostage Taking (Kidnapping),Private Citizens & Property,Nigeria,Firearms
2011,May,Mon,0,Borno,Maiduguri,Armed Assault,Military,Nigeria,Firearms
2006,Dec,Sun,0,Rivers,Port Harcourt,Bombing/Explosion,Government (General),Nigeria,Explosives
2020,Jan,Mon,0,Oyo,Babamogba,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2021,Sep,Sun,0,Akwa Ibom,Afaha Ikot Ebak,Facility/Infrastructure Attack,Business,Nigeria,Firearms
2012,Jan,Mon,0,Yobe,Potiskum,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2021,May,Sat,0,Imo,Owerri district,Armed Assault,Military,Nigeria,Firearms
2011,Mar,Fri,0,Kaduna,Taba,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2018,Nov,Sun,0,Nasarawa,Doma district,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2017,May,Sat,0,Borno,Maiduguri,Bombing/Explosion,Educational Institution,Nigeria,Explosives
2021,Apr,Thu,0,Nasarawa,Chia,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2018,May,Thu,0,Plateau,Rafin Bauna,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2012,Oct,Fri,0,Borno,Maiduguri,Armed Assault,Business,China,Firearms
2016,Feb,Sun,0,Delta,Batan,Bombing/Explosion,Utilities,Nigeria,Explosives
2012,Mar,Sat,0,Yobe,Potiskum,Bombing/Explosion,Police,Nigeria,Explosives
2011,Nov,Fri,0,Borno,Maiduguri,Armed Assault,Military,Nigeria,Firearms
2014,Mar,Fri,0,Borno,Maiduguri,Armed Assault,Military,Nigeria,Explosives
2008,Jan,Tue,0,Rivers,Port Harcourt,Armed Assault,Police,Nigeria,Firearms
2019,Aug,Sat,0,Benue,Ikyulav Tiev,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2020,Apr,Fri,1,Delta,Issele-Azagba,Hostage Taking (Kidnapping),Business,Nigeria,Firearms
2020,Jan,Thu,0,Borno,Garin Giwa,Unknown,Military,Nigeria,Unknown
2020,Aug,Thu,1,Kaduna,Maraban Rido,Hostage Taking (Kidnapping),Police,Nigeria,Firearms
2015,Jul,Tue,0,Borno,Buratai,Unknown,Private Citizens & Property,Nigeria,Unknown
2018,Apr,Sat,0,Nasarawa,Kadarko,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2017,Apr,Sat,0,Borno,Maiduguri,Bombing/Explosion,Business,Nigeria,Explosives
2016,Apr,Mon,0,Adamawa,Izige,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2012,Oct,Sat,0,Borno,Hausari,Bombing/Explosion,Private Citizens & Property,Nigeria,Explosives
2018,May,Thu,0,Borno,Doro Naira,Bombing/Explosion,Unknown,Nigeria,Explosives
2010,Feb,Mon,0,Abia,Aba,Armed Assault,Military,Nigeria,Firearms
1996,Jan,Fri,0,Lagos,Lagos,Armed Assault,Military,Nigeria,Incendiary
2020,Oct,Fri,1,Borno,Jakana,Armed Assault,Military,Nigeria,Explosives
2006,Nov,Wed,0,Unknown,Unknown,Hostage Taking (Kidnapping),Business,Multinational,Firearms
2015,Jul,Wed,0,Borno,Damasak,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2016,Nov,Sun,0,Kaduna,Kitakum,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2016,Sep,Sun,0,Borno,Unknown,Bombing/Explosion,Military,Nigeria,Explosives
2013,Sep,Wed,0,Yobe,Buni Yadi,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2021,Apr,Fri,0,Benue,Saghev,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2011,Apr,Thu,0,Borno,Marama,Armed Assault,Government (General),Nigeria,Firearms
2015,Jun,Sun,0,Yobe,Babban Gida,Armed Assault,Private Citizens & Property,Nigeria,Explosives
2014,Apr,Mon,0,Borno,Konduga,Bombing/Explosion,Religious Figures/Institutions,Nigeria,Explosives
2012,Jan,Wed,0,Borno,Maiduguri,Unknown,Military,Nigeria,Unknown
2015,Jul,Tue,0,Borno,Biu district,Bombing/Explosion,Military,Nigeria,Explosives
2019,Jan,Mon,1,Borno,Molai,Hostage Taking (Kidnapping),Private Citizens & Property,Nigeria,Melee
2019,Dec,Sun,0,Borno,Fuhe,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2016,May,Fri,0,Delta,Warri,Bombing/Explosion,Utilities,Nigeria,Explosives
2014,Apr,Mon,0,Bauchi,Wasasa,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2016,Sep,Fri,0,Rivers,Unknown,Bombing/Explosion,Utilities,Nigeria,Explosives
2019,Jun,Mon,0,Kaduna,Kikoba,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2018,Apr,Thu,0,Benue,Naka,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2012,Aug,Wed,0,Bauchi,Gubi,Armed Assault,Police,Nigeria,Firearms
2012,Sep,Mon,0,Kano,Kano,Armed Assault,Police,Nigeria,Firearms
2018,Mar,Thu,0,Plateau,Miango,Hostage Taking (Kidnapping),Private Citizens & Property,Nigeria,Incendiary
2011,Sep,Wed,0,Borno,Maiduguri,Armed Assault,Government (General),Nigeria,Firearms
2021,Nov,Tue,0,Ogun,Ijoun,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2012,Sep,Thu,0,Borno,Maiduguri,Hostage Taking (Barricade Incident),Business,Nigeria,Firearms
2016,Dec,Sun,0,Borno,Maiduguri,Bombing/Explosion,Private Citizens & Property,Nigeria,Explosives
2019,Apr,Tue,1,Plateau,Billi,Facility/Infrastructure Attack,Private Citizens & Property,Nigeria,Unknown
2013,Aug,Fri,0,Lagos,Festac Town,Hostage Taking (Kidnapping),Business,Nigeria,Firearms
2012,Feb,Tue,0,Yobe,Damaturu,Armed Assault,Religious Figures/Institutions,Nigeria,Firearms
2020,Jan,Sun,0,Adamawa,Jereng,Armed Assault,Religious Figures/Institutions,Nigeria,Firearms
1992,May,Thu,1,Lagos,Lagos,Hostage Taking (Kidnapping),Business,Great Britain,Firearms
2019,Sep,Thu,0,Borno,Mafa district,Facility/Infrastructure Attack,Private Citizens & Property,Nigeria,Incendiary
2017,Oct,Mon,0,Kogi,Eika,Assassination,Government (General),Nigeria,Firearms
2008,Jun,Thu,0,Rivers,Bonny district,Armed Assault,Military,Nigeria,Firearms
2014,Jan,Sat,0,Kaduna,Kaura,Armed Assault,Business,China,Firearms
2015,Apr,Sun,0,Benue,Mbatsease,Armed Assault,Private Citizens & Property,Nigeria,Firearms
