year,month,day,extended,state,city,attack_type,target_type,nationality,weapon_type
2015,Sep,Tue,0,Yobe,Damaturu,Bombing/Explosion,Private Citizens & Property,Nigeria,Explosives
2018,Mar,Fri,0,Borno,Maiduguri,Bombing/Explosion,Private Citizens & Property,Nigeria,Explosives
2015,Mar,Sun,0,Borno,Malari,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2015,Dec,Sun,0,Borno,Aduwari,Armed Assault,Private Citizens & Property,Nigeria,Explosives
2017,Feb,Sat,1,Nasarawa,Akwanga district,Assassination,Private Citizens & Property,Nigeria,Firearms
2015,Jan,Sat,1,Adamawa,Mbororo,Hostage Taking (Kidnapping),Private Citizens & Property,Nigeria,Incendiary
2018,Nov,Wed,0,Rivers,Ipo,Armed Assault,Violent Political Party,Nigeria,Firearms
2011,Aug,Thu,0,Niger,Suleja,Bombing/Explosion,Government (General),Nigeria,Explosives
2018,Apr,Mon,0,Borno,Bama,Bombing/Explosion,Unknown,Nigeria,Explosives
2016,Oct,Wed,0,Rivers,Port Harcourt,Armed Assault,Government (General),Nigeria,Firearms
2017,Dec,Sat,1,Borno,Maiwa,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2020,Jan,Fri,0,Kaduna,Marina,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2014,Feb,Tue,0,Nasarawa,Ikposogye,Facility/Infrastructure Attack,Private Citizens & Property,Nigeria,Incendiary
2007,Sep,Sun,1,Rivers,Port Hartcourt,Hostage Taking (Kidnapping),Business,France,Firearms
2018,Nov,Sun,0,Nasarawa,Kadarko,Armed Assault,Private Citizens & Property,Nigeria,Melee
2021,May,Sun,0,Imo,Okwudor,Facility/Infrastructure Attack,Government (General),Nigeria,Incendiary
2013,Nov,Mon,1,Borno,Bdagu,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2015,Apr,Mon,0,Kogi,Okene,Bombing/Explosion,Journalists & Media,Nigeria,Explosives
2010,Nov,Mon,0,Bayelsa,Brass,Armed Assault,Private Citizens & Property,Nigeria,Melee
2015,Jan,Sun,0,Jigawa,Malam Maduri,Unknown,Military,International,Unknown
2014,May,Wed,0,Taraba,Bali district,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2019,Aug,Wed,0,Borno,Dikwa,Unknown,Private Citizens & Property,Nigeria,Unknown
2019,Jun,Tue,1,Borno,Damboa district,Facility/Infrastructure Attack,Military,Nigeria,Incendiary
2011,Dec,Sun,0,Plateau,Jos,Bombing/Explosion,Unknown,Nigeria,Explosives
2019,Feb,Tue,0,Adamawa,Wuro Hausa,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2020,Dec,Tue,0,Borno,Gajiram,Unknown,Private Citizens & Property,Nigeria,Unknown
2014,Oct,Wed,0,Plateau,Bangai,Armed Assault,Transportation,Nigeria,Firearms
2018,Jan,Fri,0,Benue,Tse Iortyer,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2019,Aug,Sat,1,Borno,Gajiram,Hostage Taking (Kidnapping),Private Citizens & Property,Nigeria,Explosives
2013,Mar,Sat,0,Borno,Biu,Facility/Infrastructure Attack,Educational Institution,Nigeria,Incendiary
2012,Oct,Sun,0,Gombe,Gombe,Bombing/Explosion,Educational Institution,Nigeria,Explosives
2012,Aug,Sat,0,Plateau,Kachin,Assassination,Private Citizens & Property,Nigeria,Firearms
2021,Jun,Thu,0,Zamfara,Kwali,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2016,Aug,Wed,0,Borno,Pulka,Armed Assault,Military,Nigeria,Firearms
2016,Feb,Mon,0,Abia,Ikeala Ahiaba,Assassination,Private Citizens & Property,Nigeria,Firearms
2019,Aug,Sat,0,Benue,Tongov,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2016,Jul,Fri,0,Rivers,Bori,Facility/Infrastructure Attack,Government (General),Nigeria,Incendiary
2021,May,Sat,0,Imo,Owerri,Assassination,Government (General),Nigeria,Firearms
2017,Feb,Wed,0,Borno,Gajiram,Armed Assault,Military,Nigeria,Firearms
2011,Mar,Sun,0,Borno,Maiduguri,Armed Assault,Religious Figures/Institutions,Nigeria,Firearms
2017,Mar,Sun,0,Borno,Maiduguri,Bombing/Explosion,Military,Nigeria,Explosives
2014,Sep,Sat,0,Borno,Ngom,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2014,Dec,Thu,0,Borno,Ngoshe,Bombing/Explosion,Private Citizens & Property,Nigeria,Explosives
2016,Mar,Mon,0,Ebonyi,Noyo,Armed Assault,Police,Nigeria,Firearms
2014,Feb,Sun,0,Borno,Izghe,Armed Assault,Private Citizens & Property,Nigeria,Firearms
1994,Feb,Wed,0,Abuja,Abuja,Bombing/Explosion,Government (General),Nigeria,Explosives
2014,Oct,Sun,0,Kano,Kano,Bombing/Explosion,Private Citizens & Property,Nigeria,Explosives
2017,Dec,Thu,0,Borno,Amarwa,Bombing/Explosion,Private Citizens & Property,Nigeria,Explosives
2013,Mar,Sat,0,Kano,Kano,Armed Assault,Government (General),Nigeria,Firearms
2018,Jan,Wed,0,Adamawa,Mildu,Unknown,Private Citizens & Property,Nigeria,Unknown
2018,Aug,Wed,0,Plateau,Zayit,Facility/Infrastructure Attack,Religious Figures/Institutions,Nigeria,Unknown
2014,Feb,Sun,0,Nasarawa,Fadama-Bona,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2018,Dec,Wed,0,Plateau,Barakin Ladi district,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2012,Aug,Sun,0,Kano,Kano,Bombing/Explosion,Educational Institution,Nigeria,Explosives
2018,Dec,Tue,0,Benue,Agboughul,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2012,May,Wed,0,Kano,Kano,Facility/Infrastructure Attack,Telecommunication,Nigeria,Incendiary
2017,Feb,Sun,0,Borno,Yazza,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2017,Jul,Sat,0,Yobe,Buni Yadi,Armed Assault,Military,Nigeria,Firearms
2018,Jun,Tue,0,Benue,Guma district,Armed Assault,Military,Nigeria,Firearms
2016,Sep,Mon,0,Kaduna,Dogon Daji,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2016,Jun,Thu,0,Lagos,Lagos,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2021,Jun,Sat,0,Anambra,Obosi,Armed Assault,Police,Nigeria,Firearms
2012,Jan,Fri,0,Kano,Kano,Bombing/Explosion,Police,Nigeria,Explosives
2012,Jan,Fri,1,Delta,Warri,Hostage Taking (Kidnapping),Business,United States,Firearms
2017,Nov,Fri,0,Borno,Maiduguri,Bombing/Explosion,Unknown,Nigeria,Explosives
2012,May,Wed,0,Borno,Maiduguri,Facility/Infrastructure Attack,Telecommunication,Nigeria,Incendiary
2016,Aug,Thu,0,Anambra,Afor-Igwe,Armed Assault,Religious Figures/Institutions,Nigeria,Firearms
2020,Jan,Mon,0,Plateau,Changet,Facility/Infrastructure Attack,Private Citizens & Property,Nigeria,Incendiary
2021,Feb,Sat,1,Delta,Emuhu,Hostage Taking (Kidnapping),Private Citizens & Property,Nigeria,Firearms
2019,Feb,Fri,0,Benue,Unknown,Assassination,Private Citizens & Property,Nigeria,Firearms
2015,Jul,Fri,0,Yobe,Damaturu district,Bombing/Explosion,Religious Figures/Institutions,Nigeria,Explosives
2017,Sep,Mon,0,Borno,Mashemeri,Bombing/Explosion,Private Citizens & Property,Nigeria,Explosives
2019,Mar,Sun,1,Kaduna,Kakau Daji,Hostage Taking (Kidnapping),Educational Institution,Nigeria,Firearms
2019,Jun,Mon,0,Borno,Gajiram,Armed Assault,Business,Nigeria,Firearms
2018,Aug,Sat,0,Borno,Mandanari,Bombing/Explosion,Unknown,Nigeria,Explosives
2016,Nov,Tue,0,Borno,Kautikari,Facility/Infrastructure Attack,Private Citizens & Property,Nigeria,Incendiary
2011,Apr,Mon,0,Borno,Maiduguri,Bombing/Explosion,Educational Institution,Nigeria,Explosives
2020,Mar,Tue,0,Plateau,Kperie,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2015,Jul,Fri,0,Borno,Maiduguri,Bombing/Explosion,Private Citizens & Property,Nigeria,Explosives
2014,Aug,Sun,0,Edo,Unknown,Assassination,Government (General),Nigeria,Firearms
2012,Apr,Fri,0,Bayelsa,Clough Creek,Facility/Infrastructure Attack,Utilities,Italy,Firearms
2011,Oct,Sat,0,Borno,Maiduguri,Armed Assault,Religious Figures/Institutions,Nigeria,Firearms
2012,Aug,Wed,0,Rivers,Ueken,Bombing/Explosion,Business,Nigeria,Explosives
2013,Apr,Thu,1,Bayelsa,Southern Ijaw district,Hostage Taking (Kidnapping),Business,Nigeria,Firearms
2013,Jan,Thu,0,Kano,Kano,Armed Assault,Military,Nigeria,Firearms
2012,Jul,Sun,1,Anambra,Dunukofia district,Hostage Taking (Kidnapping),Private Citizens & Property,Nigeria,Firearms
2020,Jul,Thu,0,Borno,Maiduguri,Bombing/Explosion,Private Citizens & Property,Nigeria,Explosives
2016,Aug,Thu,0,Delta,Warri,Bombing/Explosion,Utilities,Nigeria,Explosives
2018,Oct,Thu,1,Delta,Agbor,Hostage Taking (Kidnapping),Religious Figures/Institutions,Nigeria,Firearms
2014,May,Sat,1,Adamawa,Gubula,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2021,Apr,Fri,0,Benue,Ahume,Armed Assault,Private Citizens & Property,Nigeria,Firearms
1994,Aug,Sat,0,Lagos,Lagos,Bombing/Explosion,Government (General),Nigeria,Explosives
2016,May,Fri,1,Kogi,Ajaokuta district,Hostage Taking (Kidnapping),Military,Nigeria,Unknown
2017,Oct,Mon,0,Abia,Umuahia,Armed Assault,Military,Nigeria,Firearms
2012,Jan,Tue,0,Borno,Maiduguri,Facility/Infrastructure Attack,Educational Institution,Nigeria,Incendiary
2019,Mar,Mon,0,Borno,Gwoza district,Bombing/Explosion,Private Citizens & Property,Nigeria,Explosives
2014,Sep,Tue,0,Zamfara,Lafiya,Hostage Taking (Kidnapping),Private Citizens & Property,Nigeria,Firearms
2014,May,Mon,0,Yobe,Buni Yadi,Armed Assault,Government (General),Nigeria,Firearms
2012,May,Mon,0,Kaduna,Mararaban Jos,Bombing/Explosion,Private Citizens & Property,Nigeria,Explosives
2015,Dec,Mon,0,Borno,Maiduguri,Bombing/Explosion,Private Citizens & Property,Nigeria,Explosives
2015,Nov,Wed,0,Gombe,Birnin Bolewa,Armed Assault,Government (General),Nigeria,Firearms
2016,Sep,Mon,0,Borno,Talwari,Assassination,Private Citizens & Property,Nigeria,Firearms
2012,Sep,Thu,0,Kano,Kano,Armed Assault,Government (General),Nigeria,Firearms
2006,Jul,Thu,1,Rivers,Port Harcourt,Hostage Taking (Kidnapping),Business,South Korea,Explosives
2018,Apr,Wed,0,Nasarawa,Unknown,Assassination,Private Citizens & Property,Nigeria,Firearms
2020,Oct,Fri,0,Borno,Unknown,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2020,Dec,Mon,1,Katsina,Malamai,Hostage Taking (Kidnapping),Private Citizens & Property,Nigeria,Firearms
2019,Mar,Sat,0,Benue,Tarka district,Armed Assault,Government (General),Nigeria,Firearms
2019,Mar,Tue,0,Nasarawa,Nidam,Facility/Infrastructure Attack,Private Citizens & Property,Nigeria,Incendiary
2011,Apr,Sun,0,Borno,Maiduguri,Bombing/Explosion,Business,Nigeria,Explosives
2012,Jan,Thu,0,Zamfara,Unknown,Hostage Taking (Kidnapping),Private Citizens & Property,Nigeria,Firearms
2017,May,Sun,0,Abia,Umuahia,Assassination,Government (General),Nigeria,Firearms
2018,Apr,Thu,0,Benue,Iye,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2018,Mar,Fri,0,Taraba,Fawe,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2015,Oct,Mon,0,Borno,Unknown,Bombing/Explosion,Unknown,Nigeria,Explosives
2012,Oct,Wed,0,Bauchi,Zango,Bombing/Explosion,Religious Figures/Institutions,Nigeria,Explosives
2012,Feb,Tue,0,Kaduna,Ungwar Sarki,Bombing/Explosion,Unknown,Nigeria,Explosives
2018,Mar,Mon,0,Taraba,Sai,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2021,Jun,Wed,0,Imo,Amaebu Ebenatu,Assassination,Government (General),Nigeria,Firearms
2011,Mar,Tue,0,Delta,Ughelli,Bombing/Explosion,Government (General),Nigeria,Explosives
2015,Mar,Sun,0,Rivers,Port Harcourt,Bombing/Explosion,Government (General),Nigeria,Explosives
2015,May,Sat,1,Adamawa,Sabongari,Hostage Taking (Kidnapping),Private Citizens & Property,Nigeria,Firearms
2014,Mar,Mon,0,Yobe,Goniri,Armed Assault,Private Citizens & Property,Nigeria,Explosives
2015,Feb,Mon,0,Bauchi,Bauchi,Bombing/Explosion,Private Citizens & Property,Nigeria,Explosives
2012,Nov,Mon,0,Borno,Maiduguri,Bombing/Explosion,Private Citizens & Property,Nigeria,Explosives
2012,Jun,Sat,0,Kano,Kurna Asabe,Bombing/Explosion,Government (General),Nigeria,Explosives
2015,Mar,Sat,0,Borno,Meringa,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2017,Aug,Mon,0,Edo,Benin City,Armed Assault,Police,Nigeria,Firearms
2015,Aug,Tue,0,Yobe,Damaturu,Bombing/Explosion,Unknown,Nigeria,Explosives
2014,May,Sat,0,Borno,Unknown,Armed Assault,Military,Nigeria,Firearms
2009,Jul,Mon,0,Borno,Maiduguri,Unknown,Educational Institution,Nigeria,Unknown
2003,Apr,Sat,1,Unknown,Unknown,Hostage Taking (Barricade Incident),Business,United States,Unknown
2020,Nov,Mon,0,Kaduna,Manyi-Mashin,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2016,Dec,Fri,1,Niger,Dan Mayan,Hostage Taking (Kidnapping),Private Citizens & Property,Nigeria,Firearms
2016,Feb,Mon,0,Adamawa,Kuda,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2015,Dec,Sun,0,Borno,Jiddari Polo,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2016,Jan,Wed,0,Borno,Chibok,Bombing/Explosion,Private Citizens & Property,Nigeria,Explosives
2018,Jul,Tue,0,Borno,Mussini,Armed Assault,Terrorists/Non-State Militia,Nigeria,Firearms
2012,Apr,Wed,0,Yobe,Fika,Bombing/Explosion,Telecommunication,Nigeria,Explosives
2018,Sep,Sat,0,Benue,Awashuwa,Hostage Taking (Kidnapping),Police,Nigeria,Firearms
2013,Apr,Thu,0,Borno,Bama,Hostage Taking (Kidnapping),Police,Nigeria,Firearms
2016,Jun,Mon,0,Lagos,Ikorodu,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2015,Sep,Mon,1,Ondo,Ilado,Hostage Taking (Kidnapping),Government (General),Nigeria,Unknown
2015,Mar,Mon,0,Bauchi,Bununu,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2017,Oct,Mon,0,Ondo,Ore,Armed Assault,Religious Figures/Institutions,Nigeria,Firearms
2015,Oct,Tue,1,Borno,Darmanti,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2014,Feb,Tue,0,Nasarawa,Agwan Hamidu,Facility/Infrastructure Attack,Private Citizens & Property,Nigeria,Incendiary
2013,May,Thu,0,Borno,Unknown,Armed Assault,Police,Nigeria,Firearms
2008,Aug,Tue,0,Benue,Makurdi,Armed Assault,Police,Nigeria,Firearms
2016,May,Sun,0,Borno,Biu,Bombing/Explosion,Military,Nigeria,Explosives
2020,Jun,Mon,0,Borno,Auno,Assassination,Military,Nigeria,Explosives
2012,Jun,Fri,0,Kano,Kano,Bombing/Explosion,Religious Figures/Institutions,Nigeria,Explosives
2019,Dec,Thu,0,Taraba,Gonori,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2014,Dec,Sat,0,Borno,Dhimankara,Hostage Taking (Kidnapping),Private Citizens & Property,Nigeria,Firearms
2011,Apr,Sun,0,Borno,Maiduguri,Bombing/Explosion,Transportation,Nigeria,Explosives
2016,Nov,Sat,0,Borno,Maiduguri,Bombing/Explosion,Religious Figures/Institutions,Nigeria,Explosives
2013,May,Thu,0,Katsina,Daura,Bombing/Explosion,Police,Nigeria,Explosives
2020,Dec,Mon,0,Borno,Logomani,Bombing/Explosion,Military,Nigeria,Explosives
2014,Nov,Wed,0,Borno,Gur,Bombing/Explosion,Private Citizens & Property,Nigeria,Explosives
2019,Dec,Sun,1,Katsina,Ruma,Hostage Taking (Kidnapping),Private Citizens & Property,Nigeria,Firearms
2016,Oct,Thu,0,Borno,Gamboru,Bombing/Explosion,Military,Nigeria,Explosives
2018,Nov,Tue,0,Borno,Maiduguri,Bombing/Explosion,Unknown,Nigeria,Explosives
2015,Sep,Mon,0,Adamawa,Yola district,Bombing/Explosion,Military,Nigeria,Explosives
2015,Aug,Sun,0,Borno,Hambagda,Armed Assault,Religious Figures/Institutions,Nigeria,Firearms
2021,Mar,Fri,0,Kano,Aujirawa Alkali,Bombing/Explosion,Unknown,Nigeria,Explosives
2013,Oct,Mon,0,Benue,Nzorov,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2021,Mar,Mon,1,Ebonyi,Amazu,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2016,Oct,Thu,0,Kaduna,Kaninkon,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2012,Oct,Wed,0,Borno,Maiduguri,Armed Assault,Government (General),Nigeria,Firearms
2014,Apr,Wed,0,Plateau,Atakar,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2019,Aug,Fri,1,Borno,Balumri,Hostage Taking (Kidnapping),Private Citizens & Property,Nigeria,Melee
2014,May,Wed,0,Bauchi,Shedarki,Facility/Infrastructure Attack,Educational Institution,Nigeria,Firearms
2013,Jun,Wed,0,Borno,Maiduguri,Unknown,Business,Nigeria,Unknown
2017,Jul,Sun,0,Borno,Dalori,Bombing/Explosion,Private Citizens & Property,Nigeria,Explosives
2014,Apr,Wed,0,Yobe,Bara,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2016,Feb,Mon,0,Kaduna,Godogodo,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2012,Mar,Sat,0,Borno,Maiduguri,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2008,Oct,Mon,0,Unknown,Unknown,Armed Assault,Maritime,Nigeria,Firearms
2019,Jun,Tue,0,Borno,Maiduguri,Bombing/Explosion,Private Citizens & Property,Nigeria,Explosives
2020,Jun,Sat,1,Borno,Bokko,Armed Assault,Military,Nigeria,Firearms
2021,Sep,Thu,1,Borno,Rann,Armed Assault,Military,Nigeria,Firearms
2010,Jul,Tue,0,Bayelsa,Yenagoa,Assassination,Government (General),Nigeria,Firearms
2015,Dec,Tue,0,Borno,Lahou,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2015,Sep,Fri,0,Kogi,Lokoja district,Bombing/Explosion,Government (General),Nigeria,Explosives
2013,Feb,Mon,0,Borno,Gwoza district,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2020,Sep,Wed,0,Kaduna,Unknown,Unknown,Private Citizens & Property,Nigeria,Unknown
2019,Mar,Tue,0,Benue,Tse Uoreleyev,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2018,Feb,Thu,1,Benue,Akor,Armed Assault,Government (General),Nigeria,Firearms
2020,Jan,Wed,0,Oyo,Ibadan,Assassination,Private Citizens & Property,Nigeria,Firearms
2021,Jun,Sun,1,Ogun,Iraye,Hostage Taking (Kidnapping),Private Citizens & Property,Nigeria,Firearms
2008,Dec,Mon,0,Rivers,Port Harcourt,Bombing/Explosion,Utilities,Nigeria,Explosives
2021,May,Sun,1,Benue,Mbaatan,Hostage Taking (Kidnapping),Private Citizens & Property,Nigeria,Firearms
2021,May,Sat,0,Benue,Gboko district,Assassination,Private Citizens & Property,Nigeria,Firearms
2015,Oct,Sun,0,Borno,Dille,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2019,Mar,Tue,0,Nasarawa,Mante,Hostage Taking (Kidnapping),Private Citizens & Property,Nigeria,Incendiary
2019,Sep,Wed,1,Borno,Maiduguri,Hostage Taking (Kidnapping),Private Citizens & Property,Nigeria,Melee
2016,Mar,Sun,0,Benue,Ugbende Mue,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2015,Mar,Sat,0,Gombe,Birin Bolawa,Armed Assault,Government (General),Nigeria,Firearms
2001,Jun,Wed,1,Rivers,Finima,Hostage Taking (Kidnapping),Business,Nigeria,Unknown
2014,Jul,Mon,0,Yobe,Katarko,Armed Assault,Military,Nigeria,Explosives
2014,May,Wed,0,Taraba,Bali district,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2014,Jun,Tue,0,Benue,Katsina Ala,Armed Assault,Private Citizens & Property,Nigeria,Incendiary
2017,Aug,Wed,0,Borno,Maiduguri,Bombing/Explosion,Government (General),Nigeria,Explosives
2016,Nov,Tue,0,Borno,Kuburmbula,Facility/Infrastructure Attack,Private Citizens & Property,Nigeria,Incendiary
2021,Apr,Sat,1,Yobe,Geidam,Armed Assault,Private Citizens & Property,Nigeria,Explosives
2012,Jan,Fri,0,Kano,Kano,Bombing/Explosion,Police,Nigeria,Explosives
2016,Sep,Mon,0,Adamawa,Madagali,Bombing/Explosion,Private Citizens & Property,Nigeria,Explosives
2020,Nov,Thu,0,Borno,Dikwa,Bombing/Explosion,Private Citizens & Property,Nigeria,Explosives
2012,Nov,Wed,0,Borno,Rann,Facility/Infrastructure Attack,Telecommunication,Nigeria,Unknown
2017,May,Sun,0,Taraba,Gazabu,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2018,Oct,Tue,1,Benue,Tse Akpam,Hostage Taking (Kidnapping),Police,Nigeria,Firearms
2020,Apr,Tue,0,Plateau,Hurra,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2021,Mar,Tue,0,Yobe,Bujimirum,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2016,Apr,Thu,0,Borno,Monguno district,Bombing/Explosion,Private Citizens & Property,Nigeria,Explosives
2014,Aug,Fri,0,Osun,Ede,Assassination,Government (General),Nigeria,Firearms
2015,Oct,Thu,0,Borno,Maiduguri,Bombing/Explosion,Religious Figures/Institutions,Nigeria,Explosives
2016,Oct,Fri,0,Edo,Ovia North-East district,Bombing/Explosion,Utilities,Nigeria,Explosives
2012,Sep,Sun,0,Bauchi,Bauchi,Bombing/Explosion,Religious Figures/Institutions,Nigeria,Explosives
2017,Mar,Wed,0,Borno,Maiduguri,Bombing/Explosion,Private Citizens & Property,Nigeria,Explosives
2021,Jun,Wed,0,Imo,Obibi,Assassination,Government (General),Nigeria,Firearms
2015,Feb,Tue,0,Yobe,Goniri,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2018,Mar,Mon,0,Borno,Auno,Armed Assault,Military,Nigeria,Firearms
2018,Mar,Sat,0,Edo,Esan South-East district,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2015,Sep,Mon,0,Plateau,Zakupwang,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2016,Nov,Wed,0,Imo,Imeni,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2016,Mar,Mon,0,Borno,Huyum,Bombing/Explosion,Terrorists/Non-State Militia,Nigeria,Explosives
2021,Jan,Tue,0,Akwa Ibom,Ibiaku Ntok Okpo,Armed Assault,Police,Nigeria,Firearms
2020,Dec,Wed,0,Kogi,Okene district,Armed Assault,Military,Nigeria,Firearms
2007,Apr,Sat,0,Oyo,Ibadan,Assassination,Government (General),Nigeria,Firearms
2019,Mar,Mon,0,Borno,Lassa,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2020,Jun,Sat,0,Borno,Auno,Armed Assault,Military,Nigeria,Firearms
2018,Jan,Fri,0,Adamawa,Kaya,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2017,Jul,Fri,0,Borno,Maiduguri,Bombing/Explosion,Educational Institution,Nigeria,Explosives
2013,Jul,Mon,0,Bauchi,Darazo,Armed Assault,Religious Figures/Institutions,Nigeria,Firearms
2014,Oct,Tue,0,Nasarawa,Lafia,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2020,Dec,Mon,0,Kaduna,Ungwan Audu,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2016,Jan,Fri,0,Zamfara,Kanoma,Armed Assault,Police,Nigeria,Firearms
2015,Oct,Tue,0,Borno,Maiduguri district,Bombing/Explosion,Private Citizens & Property,Nigeria,Explosives
2018,Mar,Mon,0,Kogi,AjIchekpa,Armed Assault,Private Citizens & Property,Nigeria,Incendiary
2016,Jul,Mon,0,Benue,Logo district,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2011,Apr,Mon,0,Yobe,Potiskum,Bombing/Explosion,Police,Nigeria,Explosives
2020,Jul,Sat,0,Borno,Chul,Armed Assault,Business,Nigeria,Firearms
2021,Apr,Sun,0,Borno,Mainok,Facility/Infrastructure Attack,Police,Nigeria,Incendiary
2012,Jul,Sun,0,Borno,Biu,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2016,Mar,Sun,0,Benue,Anwen,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2021,Sep,Sun,0,Abia,Bende district,Armed Assault,Police,Nigeria,Firearms
2014,Jun,Mon,0,Borno,Shani,Bombing/Explosion,Police,Nigeria,Explosives
2016,May,Mon,0,Anambra,Unknown,Unknown,Military,Nigeria,Unknown
2021,May,Tue,1,Imo,Owerri,Hostage Taking (Kidnapping),Police,Nigeria,Firearms
2013,Mar,Mon,0,Kano,Kano,Bombing/Explosion,Transportation,Nigeria,Explosives
2019,Aug,Wed,0,Borno,Magumeri,Armed Assault,Military,Nigeria,Firearms
2020,May,Wed,1,Kaduna,Ungwan Araha,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2015,Jul,Tue,0,Rivers,Ahoada West district,Assassination,Violent Political Party,Nigeria,Firearms
2013,Mar,Tue,1,Borno,Maiduguri,Hostage Taking (Kidnapping),Government (General),Nigeria,Firearms
2016,Aug,Thu,0,Borno,Maiduguri,Bombing/Explosion,Unknown,Nigeria,Explosives
2016,Sep,Tue,1,Enugu,Igbo-Etiti district,Hostage Taking (Kidnapping),Private Citizens & Property,Nigeria,Unknown
2016,May,Sat,0,Bayelsa,Nembe,Bombing/Explosion,Utilities,Nigeria,Explosives
2011,Feb,Fri,0,Enugu,Enugu,Assassination,Government (General),Nigeria,Explosives
2015,Mar,Sat,0,Gombe,Birin Fulani,Armed Assault,Government (General),Nigeria,Firearms
2014,Aug,Thu,0,Yobe,Buni Yadi,Hostage Taking (Kidnapping),Private Citizens & Property,Nigeria,Firearms
2019,Jun,Mon,0,Taraba,Janibanibu,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2020,Jan,Thu,1,Borno,Dikwa,Hostage Taking (Kidnapping),Private Citizens & Property,Nigeria,Firearms
2018,Feb,Sat,0,Yobe,Buni Yadi,Bombing/Explosion,Religious Figures/Institutions,Nigeria,Explosives
2019,Jan,Thu,0,Delta,Sapele district,Assassination,Government (General),Nigeria,Firearms
2012,Jan,Tue,0,Kano,Kano,Bombing/Explosion,Police,Nigeria,Explosives
2019,Jan,Tue,0,Benue,Gbajimba,Facility/Infrastructure Attack,Business,Nigeria,Incendiary
2015,Jan,Mon,0,Zamfara,Tangaran,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2016,May,Mon,0,Kaduna,Kaduna,Hostage Taking (Kidnapping),Government (General),Nigeria,Firearms
2008,Aug,Mon,0,Delta,Asaba,Unarmed Assault,Government (General),Nigeria,Melee
2013,Dec,Mon,0,Borno,Maiduguri,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2014,Sep,Tue,0,Zamfara,Nawaje,Hostage Taking (Kidnapping),Private Citizens & Property,Nigeria,Firearms
