year,month,day,extended,state,city,attack_type,target_type,nationality,weapon_type
1755,2014,Jun,Thu,0,Abuja,Nyanya,Armed Assault,Educational Institution,Nigeria,Firearms
1756,2014,Jun,Thu,0,Kaduna,Fadan Karshe,Armed Assault,Police,Nigeria,Firearms
1757,2014,Sep,Fri,0,Taraba,Kano-Kabawa,Armed Assault,Private Citizens & Property,Nigeria,Firearms
1758,2014,Sep,Fri,0,Borno,Damboa,Armed Assault,Military,Nigeria,Incendiary
1759,2014,Nov,Wed,1,Borno,Limankara,Hostage Taking (Kidnapping),Police,Nigeria,Explosives
1760,2014,Aug,Tue,0,Borno,Gamboru,Bombing/Explosion,Transportation,Nigeria,Explosives
1761,2014,Nov,Wed,0,Borno,Gur,Bombing/Explosion,Private Citizens & Property,Nigeria,Explosives
1762,2014,Nov,Wed,0,Borno,Gwoza district,Bombing/Explosion,Private Citizens & Property,Nigeria,Explosives
1763,2014,Nov,Wed,0,Plateau,Dinya,Armed Assault,Private Citizens & Property,Nigeria,Firearms
1764,2014,Nov,Wed,0,Borno,Limankara,Bombing/Explosion,Transportation,Nigeria,Explosives
1765,2014,Dec,Fri,0,Jigawa,Gwaram district,Bombing/Explosion,Military,Nigeria,Explosives
1766,2014,May,Tue,0,Borno,Mulehe,Armed Assault,Military,Nigeria,Firearms
1767,2014,May,Tue,0,Taraba,Bali district,Armed Assault,Private Citizens & Property,Nigeria,Firearms
1768,2014,May,Tue,0,Borno,Kalabalge district,Armed Assault,Private Citizens & Property,Nigeria,Firearms
1769,2014,May,Tue,0,Borno,Kalabalge district,Armed Assault,Private Citizens & Property,Nigeria,Firearms
1770,2014,May,Tue,0,Borno,Garawa,Armed Assault,Private Citizens & Property,Nigeria,Firearms
1771,2014,May,Wed,0,Borno,Chibok,Armed Assault,Military,Nigeria,Firearms
1772,2014,May,Wed,0,Bauchi,Shedarki,Facility/Infrastructure Attack,Educational Institution,Nigeria,Firearms
1773,2014,May,Wed,0,Bauchi,Shedarki,Facility/Infrastructure Attack,Educational Institution,Nigeria,Firearms
1774,2014,May,Wed,0,Bauchi,Shedarki,Facility/Infrastructure Attack,Telecommunication,Nigeria,Firearms
1775,2014,May,Wed,0,Kaduna,Kurumin Dodo,Armed Assault,Private Citizens & Property,Nigeria,Melee
1776,2014,May,Wed,0,Borno,Alau Ngawa Fate,Armed Assault,Private Citizens & Property,Nigeria,Firearms
1777,2014,May,Thu,0,Abuja,Kuje,Armed Assault,Private Citizens & Property,Nigeria,Firearms
1778,2014,Jul,Sat,0,Akwa Ibom,Uyo,Armed Assault,Educational Institution,Nigeria,Firearms
1779,2014,May,Thu,0,Lagos,Lagos,Bombing/Explosion,Business,Nigeria,Explosives
1780,2014,May,Fri,1,Borno,Banki,Hijacking,Police,Nigeria,Firearms
1781,2014,May,Sat,0,Borno,Unknown,Armed Assault,Military,Nigeria,Firearms
1782,2014,May,Sat,0,Borno,Dalwa-Masuba,Armed Assault,Private Citizens & Property,Nigeria,Firearms
1783,2014,May,Sat,0,Borno,Nguro Soye,Armed Assault,Private Citizens & Property,Nigeria,Explosives
1784,2014,May,Sun,0,Kano,Kano,Bombing/Explosion,Private Citizens & Property,Nigeria,Explosives
1785,2014,May,Sun,0,Rivers,Okrika,Bombing/Explosion,Business,Nigeria,Explosives
1786,2014,May,Mon,0,Kano,Kano,Bombing/Explosion,Unknown,Nigeria,Explosives
1787,2014,May,Mon,0,Kogi,Omala district,Armed Assault,Private Citizens & Property,Nigeria,Firearms
1788,2014,May,Mon,0,Kogi,Ogane-Inugu,Armed Assault,Private Citizens & Property,Nigeria,Firearms
1789,2014,May,Tue,0,Plateau,Jos,Bombing/Explosion,Private Citizens & Property,Nigeria,Explosives
1790,2014,May,Tue,0,Plateau,Jos,Bombing/Explosion,Private Citizens & Property,Nigeria,Explosives
1791,2014,May,Tue,0,Borno,Alagarno,Armed Assault,Private Citizens & Property,Nigeria,Firearms
1792,2014,May,Wed,0,Borno,Shawa,Armed Assault,Private Citizens & Property,Nigeria,Firearms
1793,2014,May,Wed,0,Borno,Bulakurbe,Armed Assault,Private Citizens & Property,Nigeria,Firearms
1794,2014,May,Wed,0,Borno,Chukongudo,Armed Assault,Private Citizens & Property,Nigeria,Firearms
1795,2014,May,Thu,0,Borno,Fage,Armed Assault,Private Citizens & Property,Nigeria,Firearms
1796,2014,May,Thu,0,Borno,Makir,Armed Assault,Private Citizens & Property,Nigeria,Firearms
1797,2014,May,Fri,0,Borno,Kimbi,Armed Assault,Private Citizens & Property,Nigeria,Firearms
1798,2014,May,Fri,0,Borno,Marte district,Armed Assault,Private Citizens & Property,Nigeria,Firearms
1799,2014,May,Fri,0,Borno,Kabrihu,Armed Assault,Private Citizens & Property,Nigeria,Firearms
1800,2014,May,Fri,1,Yobe,Buni Yadi,Hostage Taking (Kidnapping),Government (General),Nigeria,Firearms
1801,2014,May,Fri,1,Yobe,Buni Yadi,Hostage Taking (Kidnapping),Business,Nigeria,Firearms
1802,2014,May,Sat,0,Plateau,Jos,Bombing/Explosion,Business,Nigeria,Explosives
1803,2014,May,Sat,1,Adamawa,Gubula,Armed Assault,Private Citizens & Property,Nigeria,Firearms
1804,2014,May,Sun,0,Borno,Kanuyya,Armed Assault,Private Citizens & Property,Nigeria,Firearms
1805,2014,May,Sun,0,Adamawa,Waga,Armed Assault,Private Citizens & Property,Nigeria,Firearms
1806,2014,May,Mon,0,Plateau,Gida Bua,Armed Assault,Military,Nigeria,Firearms
1807,2014,May,Mon,0,Yobe,Buni Yadi,Armed Assault,Educational Institution,Nigeria,Firearms
1808,2014,May,Mon,0,Yobe,Buni Yadi,Armed Assault,Government (General),Nigeria,Firearms
1809,2014,May,Mon,0,Yobe,Buni Yadi,Armed Assault,Government (General),Nigeria,Firearms
1810,2014,May,Mon,0,Yobe,Buni Yadi,Armed Assault,Private Citizens & Property,Nigeria,Firearms
1811,2014,May,Mon,0,Borno,Ashigashiya,Armed Assault,Private Citizens & Property,Nigeria,Firearms
1812,2014,May,Mon,0,Borno,Chinene,Armed Assault,Private Citizens & Property,Nigeria,Firearms
1813,2014,May,Mon,0,Yobe,Buni Yadi,Armed Assault,Police,Nigeria,Firearms
1814,2014,May,Mon,0,Yobe,Buni Yadi,Armed Assault,Military,Nigeria,Firearms
1815,2014,May,Mon,0,Yobe,Buni Yadi,Armed Assault,Police,Nigeria,Firearms
1816,2014,May,Mon,0,Yobe,Buni Yadi,Armed Assault,Government (General),Nigeria,Firearms
1817,2014,May,Tue,0,Kogi,Egume,Assassination,Journalists & Media,Nigeria,Firearms
1818,2014,May,Wed,0,Borno,Amuda,Armed Assault,Private Citizens & Property,Nigeria,Firearms
1819,2014,May,Wed,0,Borno,Arbokko,Armed Assault,Private Citizens & Property,Nigeria,Firearms
1820,2014,May,Wed,0,Borno,Gumushi,Armed Assault,Private Citizens & Property,Nigeria,Firearms
1821,2014,May,Wed,0,Plateau,Kuru district,Armed Assault,Private Citizens & Property,Nigeria,Firearms
1822,2014,May,Thu,0,Taraba,Mayo Kam,Armed Assault,Private Citizens & Property,Nigeria,Firearms
1823,2014,May,Wed,0,Borno,Awulari,Armed Assault,Private Citizens & Property,Nigeria,Firearms
1824,2014,May,Fri,0,Borno,Tashan Alade,Assassination,Private Citizens & Property,Nigeria,Firearms
1825,2014,May,Sat,0,Borno,Ngala district,Armed Assault,Private Citizens & Property,Nigeria,Explosives
1826,2014,May,Sat,0,Borno,Ngala district,Armed Assault,Private Citizens & Property,Nigeria,Explosives
1827,2014,May,Sat,0,Borno,Gula,Armed Assault,Private Citizens & Property,Nigeria,Explosives
1828,2014,May,Thu,0,Borno,Kama,Armed Assault,Private Citizens & Property,Nigeria,Explosives
1829,2014,Jan,Mon,0,Adamawa,Mubi,Bombing/Explosion,Business,Nigeria,Explosives
1830,2014,Jan,Mon,0,Borno,Attagara,Armed Assault,Religious Figures/Institutions,Nigeria,Firearms
1831,2014,Feb,Thu,0,Borno,Bui,Armed Assault,Military,Nigeria,Firearms
1832,2014,Jan,Mon,0,Borno,Gwoshe,Facility/Infrastructure Attack,Private Citizens & Property,Nigeria,Incendiary
1833,2014,Mar,Thu,0,Borno,Attagara,Armed Assault,Private Citizens & Property,Nigeria,Explosives
1834,2014,Mar,Thu,0,Borno,Aganjara,Armed Assault,Private Citizens & Property,Nigeria,Explosives
1835,2014,Mar,Thu,0,Borno,Ngoshe,Armed Assault,Private Citizens & Property,Nigeria,Explosives
1836,2014,Mar,Thu,0,Borno,Agapalwa,Armed Assault,Private Citizens & Property,Nigeria,Explosives
1837,2014,Apr,Sun,0,Borno,Belgeri,Armed Assault,Private Citizens & Property,Nigeria,Firearms
1838,2014,Apr,Sun,0,Borno,Kumala,Facility/Infrastructure Attack,Private Citizens & Property,Nigeria,Incendiary
1839,2014,Apr,Sun,0,Enugu,Enugu,Hostage Taking (Barricade Incident),Journalists & Media,Nigeria,Firearms
1840,2014,May,Tue,0,Gombe,Gombe,Bombing/Explosion,Government (General),Nigeria,Explosives
1841,2014,May,Tue,0,Adamawa,Madagali,Armed Assault,Military,Nigeria,Firearms
1842,2014,May,Tue,0,Adamawa,Madagali,Facility/Infrastructure Attack,Religious Figures/Institutions,Nigeria,Incendiary
1843,2014,May,Tue,0,Adamawa,Madagali,Facility/Infrastructure Attack,Government (General),Nigeria,Incendiary
1844,2014,May,Tue,1,Borno,Chibok,Hostage Taking (Kidnapping),Private Citizens & Property,Nigeria,Firearms
1845,2014,May,Tue,0,Kaduna,Agunu,Armed Assault,Government (General),Nigeria,Firearms
1846,2014,May,Tue,0,Kaduna,Gora,Armed Assault,Private Citizens & Property,Nigeria,Firearms
1847,2014,Jun,Fri,0,Borno,Mainok,Armed Assault,Private Citizens & Property,Nigeria,Firearms
1848,2014,Jul,Sun,0,Borno,Bitta,Armed Assault,Private Citizens & Property,Nigeria,Explosives
1849,2014,Aug,Wed,0,Gombe,Gombe,Bombing/Explosion,Military,Nigeria,Explosives
1850,2014,Sep,Sat,0,Borno,Chibok district,Armed Assault,Private Citizens & Property,Nigeria,Firearms
1851,2014,Sep,Sat,0,Borno,Wurojene,Armed Assault,Private Citizens & Property,Nigeria,Firearms
1852,2014,Oct,Mon,0,Borno,Bitta,Armed Assault,Military,Nigeria,Explosives
1853,2014,Oct,Mon,0,Borno,Izghe,Armed Assault,Military,Nigeria,Explosives
1854,2014,Nov,Thu,0,Plateau,Tanjol,Armed Assault,Private Citizens & Property,Nigeria,Firearms
1855,2014,Nov,Thu,0,Plateau,Tashok,Armed Assault,Private Citizens & Property,Nigeria,Firearms
1856,2014,Nov,Thu,0,Plateau,Bachit,Armed Assault,Private Citizens & Property,Nigeria,Firearms
1857,2014,Nov,Thu,0,Kano,Sumaila,Armed Assault,Police,Nigeria,Firearms
1858,2014,Jun,Sat,1,Bayelsa,Fonibiri,Hostage Taking (Kidnapping),Government (General),Nigeria,Firearms
1859,2014,Jun,Sun,0,Borno,Daku,Armed Assault,Private Citizens & Property,Nigeria,Firearms
1860,2014,Jun,Sun,0,Imo,Owerri,Bombing/Explosion,Religious Figures/Institutions,Nigeria,Explosives
1861,2014,Jun,Sun,0,Yobe,Gumsa,Facility/Infrastructure Attack,Telecommunication,Nigeria,Incendiary
1862,2014,Jun,Sun,1,Yobe,Gumsa,Hostage Taking (Kidnapping),Government (General),Nigeria,Firearms
1863,2014,Jun,Sun,0,Yobe,Gumsa,Facility/Infrastructure Attack,Police,Nigeria,Incendiary
1864,2014,Jun,Mon,0,Borno,Korongilum,Armed Assault,Private Citizens & Property,Nigeria,Firearms
1865,2014,Jun,Tue,0,Yobe,Damaturu,Bombing/Explosion,Business,Nigeria,Explosives
1866,2014,Jun,Thu,0,Adamawa,Imirsa,Armed Assault,Private Citizens & Property,Nigeria,Incendiary
1867,2014,Jun,Thu,0,Adamawa,Shuwari,Armed Assault,Private Citizens & Property,Nigeria,Incendiary
1868,2014,Jun,Thu,0,Adamawa,Humabza,Armed Assault,Private Citizens & Property,Nigeria,Incendiary
1869,2014,Jun,Thu,0,Adamawa,Shuwa,Armed Assault,Private Citizens & Property,Nigeria,Incendiary
1870,2014,Jun,Thu,0,Borno,Ngohi,Bombing/Explosion,Private Citizens & Property,Nigeria,Explosives
1871,2014,Jun,Thu,0,Borno,Bittiku,Bombing/Explosion,Private Citizens & Property,Nigeria,Explosives
1872,2014,Jun,Fri,0,Plateau,Jos North district,Armed Assault,Military,Nigeria,Firearms
1873,2014,Jun,Thu,0,Adamawa,Yaza,Armed Assault,Private Citizens & Property,Nigeria,Firearms
1874,2014,Jun,Sat,0,Borno,Korongilum,Armed Assault,Private Citizens & Property,Nigeria,Firearms
1875,2014,Jun,Sat,0,Borno,Ntsiha,Armed Assault,Private Citizens & Property,Nigeria,Firearms
1876,2014,Jun,Sat,1,Borno,Kummabza,Hostage Taking (Kidnapping),Private Citizens & Property,Nigeria,Firearms
1877,2014,Jun,Sat,1,Borno,Yaga,Hostage Taking (Kidnapping),Private Citizens & Property,Nigeria,Firearms
1878,2014,Jun,Sat,1,Borno,Dagu,Hostage Taking (Kidnapping),Private Citizens & Property,Nigeria,Firearms
1879,2014,Jun,Sun,0,Borno,Gwoza,Bombing/Explosion,Military,Nigeria,Explosives
1880,2014,Jun,Sun,0,Edo,Abudu,Assassination,Government (General),Nigeria,Firearms
1881,2014,Jun,Mon,0,Kano,Kano,Bombing/Explosion,Educational Institution,Nigeria,Explosives
1882,2014,Jun,Mon,0,Kaduna,Karshi,Armed Assault,Private Citizens & Property,Nigeria,Firearms
1883,2014,Jun,Mon,0,Kaduna,Nandu,Armed Assault,Private Citizens & Property,Nigeria,Firearms
1884,2014,Jun,Tue,0,Adamawa,Mubi,Bombing/Explosion,Police,Nigeria,Explosives
1885,2014,Jun,Tue,1,Borno,Bulabulin,Hostage Taking (Kidnapping),Military,Nigeria,Explosives
1886,2014,Jun,Wed,0,Abuja,Abuja,Bombing/Explosion,Private Citizens & Property,Nigeria,Explosives
1887,2014,Jun,Wed,0,Lagos,Lagos,Bombing/Explosion,Business,Nigeria,Explosives
1888,2014,Jun,Fri,0,Kano,Kano,Bombing/Explosion,Religious Figures/Institutions,Nigeria,Explosives
1889,2014,Jun,Fri,0,Bauchi,Bauchi,Bombing/Explosion,Business,Nigeria,Explosives
1890,2014,Jun,Fri,0,Yobe,Goniri,Unknown,Military,Nigeria,Unknown
1891,2014,Jun,Fri,0,Kaduna,Amber,Armed Assault,Private Citizens & Property,Nigeria,Firearms
1892,2014,Jun,Sat,0,Kaduna,Gwantu district,Armed Assault,Private Citizens & Property,Nigeria,Firearms
1893,2014,Jun,Sun,0,Borno,Kautikiri,Armed Assault,Private Citizens & Property,Nigeria,Explosives
1894,2014,Jun,Sun,0,Borno,Kwada,Armed Assault,Religious Figures/Institutions,Nigeria,Explosives
1895,2014,Jun,Sun,0,Borno,Ngurojina,Armed Assault,Private Citizens & Property,Nigeria,Explosives
1896,2014,Jun,Sun,0,Borno,Karagau,Armed Assault,Private Citizens & Property,Nigeria,Explosives
1897,2014,Jun,Sun,0,Kaduna,Tarbi,Unknown,Private Citizens & Property,Nigeria,Unknown
1898,2014,Jun,Mon,0,Borno,Shani,Bombing/Explosion,Police,Nigeria,Explosives
1899,2014,Jun,Mon,0,Borno,Walama,Armed Assault,Government (General),Nigeria,Firearms
1900,2014,Jan,Tue,0,Borno,Maiduguri,Bombing/Explosion,Private Citizens & Property,Nigeria,Explosives
1901,2014,Jan,Tue,0,Kaduna,Kaduna,Bombing/Explosion,Private Citizens & Property,Nigeria,Explosives
1902,2014,Jan,Tue,1,Akwa Ibom,Uyo,Hostage Taking (Kidnapping),Journalists & Media,Nigeria,Firearms
1903,2014,Feb,Fri,0,Osun,Ile-ife,Bombing/Explosion,Unknown,Nigeria,Explosives
1904,2014,Feb,Fri,0,Borno,Mafa,Armed Assault,Police,Nigeria,Firearms
1905,2014,Mar,Fri,0,Borno,Ngala district,Armed Assault,Private Citizens & Property,Nigeria,Firearms
1906,2014,Apr,Mon,0,Borno,Maiduguri,Armed Assault,Private Citizens & Property,Nigeria,Firearms
1907,2014,Apr,Mon,0,Borno,Damboa,Armed Assault,Police,Nigeria,Explosives
1908,2014,Apr,Mon,0,Borno,Konduga,Bombing/Explosion,Religious Figures/Institutions,Nigeria,Explosives
1909,2014,May,Wed,0,Taraba,Bali district,Armed Assault,Private Citizens & Property,Nigeria,Firearms
1910,2014,May,Wed,0,Taraba,Bali district,Armed Assault,Private Citizens & Property,Nigeria,Firearms
1911,2014,May,Wed,0,Taraba,Bali district,Armed Assault,Private Citizens & Property,Nigeria,Firearms
1912,2014,May,Wed,0,Taraba,Bali district,Armed Assault,Private Citizens & Property,Nigeria,Firearms
1913,2014,May,Wed,0,Taraba,Bali district,Armed Assault,Private Citizens & Property,Nigeria,Firearms
1914,2014,May,Wed,0,Taraba,Bali district,Armed Assault,Private Citizens & Property,Nigeria,Firearms
1915,2014,Jun,Sat,0,Borno,Krenuwa,Armed Assault,Military,Nigeria,Firearms
1916,2014,Jun,Sat,0,Borno,Krenuwa,Armed Assault,Police,Nigeria,Firearms
1917,2014,Jun,Sat,0,Borno,Krenuwa,Armed Assault,Private Citizens & Property,Nigeria,Firearms
1918,2014,Jun,Sat,0,Plateau,Bukuru,Armed Assault,Religious Figures/Institutions,Nigeria,Firearms
1919,2014,Jul,Mon,0,Gombe,Gombe,Bombing/Explosion,Educational Institution,Nigeria,Explosives
1920,2014,Aug,Thu,0,Borno,Takaskala,Armed Assault,Private Citizens & Property,Nigeria,Firearms
1921,2014,Sep,Sun,0,Borno,Kwamala,Armed Assault,Military,Nigeria,Firearms
1922,2014,Sep,Sun,0,Abia,Olokorno,Assassination,Government (General),Nigeria,Firearms
1923,2014,Aug,Thu,0,Borno,Kwatara,Armed Assault,Private Citizens & Property,Nigeria,Firearms
1924,2014,Nov,Fri,0,Kaduna,Kaduna,Assassination,Journalists & Media,Nigeria,Firearms
1925,2014,Jul,Sun,0,Adamawa,Mada,Bombing/Explosion,Transportation,Nigeria,Explosives
1926,2014,Jul,Mon,0,Borno,Dille,Armed Assault,Private Citizens & Property,Nigeria,Explosives
1927,2014,Jul,Mon,0,Plateau,Zamadede,Armed Assault,Private Citizens & Property,Nigeria,Firearms
1928,2014,Jul,Mon,0,Zamfara,Gidandawa district,Armed Assault,Private Citizens & Property,Nigeria,Firearms
1929,2014,Jul,Tue,0,Plateau,Rakung,Armed Assault,Private Citizens & Property,Nigeria,Firearms
1930,2014,Jul,Tue,0,Borno,Sabon Gari,Unknown,Private Citizens & Property,Nigeria,Unknown
1931,2014,Jul,Tue,0,Borno,Huyim,Armed Assault,Private Citizens & Property,Nigeria,Explosives
1932,2014,Jul,Wed,1,Adamawa,Gombi,Hostage Taking (Kidnapping),Educational Institution,Germany,Firearms
1933,2014,Jul,Wed,0,Borno,Sabon Gari,Armed Assault,Private Citizens & Property,Nigeria,Firearms
1934,2014,Jul,Wed,1,Borno,Gamboru,Hostage Taking (Kidnapping),Private Citizens & Property,Nigeria,Firearms
1935,2014,Jul,Wed,0,Plateau,Jos,Assassination,Government (General),Nigeria,Firearms
1936,2014,Jul,Fri,0,Borno,Damboa,Armed Assault,Private Citizens & Property,Nigeria,Explosives
1937,2014,Jul,Fri,0,Kaduna,Fadan Karshi,Armed Assault,Private Citizens & Property,Nigeria,Firearms
1938,2014,Jul,Fri,0,Bayelsa,Brass,Assassination,Private Citizens & Property,Nigeria,Firearms
1939,2014,Jul,Sat,0,Borno,Saha,Bombing/Explosion,Private Citizens & Property,Nigeria,Explosives
1940,2014,Jul,Sat,0,Borno,Bulabuli-Pegin Barawa,Bombing/Explosion,Private Citizens & Property,Nigeria,Explosives
1941,2014,Jul,Sat,0,Borno,Damboa,Armed Assault,Private Citizens & Property,Nigeria,Firearms
1942,2014,Jul,Sat,0,Borno,Gaidamgari,Bombing/Explosion,Private Citizens & Property,Nigeria,Explosives
1943,2014,Jul,Sat,0,Borno,Unknown,Armed Assault,Private Citizens & Property,Nigeria,Firearms
1944,2014,Jul,Mon,1,Borno,Ngala,Hostage Taking (Kidnapping),Government (General),Nigeria,Firearms
1945,2014,Jul,Tue,0,Borno,Damboa,Armed Assault,Private Citizens & Property,Nigeria,Firearms
1946,2014,Jul,Wed,0,Kaduna,Kaduna,Assassination,Religious Figures/Institutions,Nigeria,Explosives
1947,2014,Jul,Wed,0,Kaduna,Kaduna,Assassination,Private Citizens & Property,Nigeria,Explosives
1948,2014,Jul,Wed,0,Borno,Ngala,Bombing/Explosion,Transportation,Nigeria,Explosives
1949,2014,Jul,Wed,0,Borno,Gamboru Ngala,Assassination,Private Citizens & Property,Nigeria,Firearms
1950,2014,Jul,Thu,0,Kano,Kano,Bombing/Explosion,Transportation,Nigeria,Explosives
1951,2014,Jul,Thu,0,Ebonyi,Abakaliki,Hostage Taking (Kidnapping),Government (General),Nigeria,Firearms
1952,2014,Jul,Fri,0,Borno,Rann,Armed Assault,Police,Nigeria,Explosives
1953,2014,Jul,Fri,0,Borno,Rann,Armed Assault,Government (General),Nigeria,Explosives
1954,2014,Jul,Fri,0,Borno,Rann,Armed Assault,Government (General),Nigeria,Explosives
1955,2014,Jul,Sat,1,Borno,Sigal,Hostage Taking (Kidnapping),Police,Nigeria,Firearms
1956,2014,Jul,Sat,0,Kano,Kano,Bombing/Explosion,Religious Figures/Institutions,Nigeria,Explosives
1957,2014,Jul,Sun,0,Kano,Kano,Bombing/Explosion,Religious Figures/Institutions,Nigeria,Explosives
1958,2014,Jul,Sun,0,Kano,Kano,Bombing/Explosion,Educational Institution,Nigeria,Explosives
1959,2014,Jul,Sun,0,Adamawa,Garkida,Armed Assault,Private Citizens & Property,Nigeria,Firearms
1960,2014,Jul,Sun,1,Adamawa,Zar,Armed Assault,Private Citizens & Property,Nigeria,Firearms
1961,2014,Jul,Sun,1,Adamawa,Mubeng,Armed Assault,Private Citizens & Property,Nigeria,Firearms
1962,2014,Jul,Sun,1,Adamawa,Lube,Armed Assault,Private Citizens & Property,Nigeria,Firearms
1963,2014,Jul,Sat,0,Borno,Shaffa,Armed Assault,Private Citizens & Property,Nigeria,Firearms
1964,2014,Jul,Sun,0,Adamawa,Madagali,Armed Assault,Private Citizens & Property,Nigeria,Firearms
1965,2014,Jul,Mon,0,Kano,Kano,Bombing/Explosion,Business,Nigeria,Explosives
1966,2014,Jul,Mon,0,Kano,Kano,Bombing/Explosion,Business,Nigeria,Explosives
1967,2014,Jul,Mon,0,Yobe,Katarko,Armed Assault,Military,Nigeria,Explosives
1968,2014,Jul,Mon,0,Yobe,Katarko,Armed Assault,Private Citizens & Property,Nigeria,Explosives
1969,2014,Jul,Mon,0,Yobe,Katarko,Bombing/Explosion,Transportation,Nigeria,Explosives
1970,2014,Jul,Tue,0,Yobe,Potiskum,Bombing/Explosion,Religious Figures/Institutions,Nigeria,Explosives
1971,2014,Jul,Tue,0,Yobe,Potiskum,Bombing/Explosion,Religious Figures/Institutions,Nigeria,Explosives
1972,2014,Jul,Wed,0,Kano,Kano,Bombing/Explosion,Private Citizens & Property,Nigeria,Explosives
1973,2014,Jul,Wed,0,Katsina,Unknown,Bombing/Explosion,Unknown,Nigeria,Explosives
1974,2014,Jul,Wed,1,Yobe,Buni Yadi,Hostage Taking (Kidnapping),Private Citizens & Property,Nigeria,Firearms
1975,2014,Jul,Thu,0,Borno,Kwajaffa,Bombing/Explosion,Religious Figures/Institutions,Nigeria,Explosives
1976,2014,Jul,Thu,0,Borno,Tashan Alade,Bombing/Explosion,Religious Figures/Institutions,Nigeria,Explosives
1977,2014,Jul,Thu,0,Borno,Karbutu,Bombing/Explosion,Religious Figures/Institutions,Nigeria,Explosives
1978,2014,Jul,Thu,0,Borno,Manjakwa,Bombing/Explosion,Religious Figures/Institutions,Nigeria,Explosives
1979,2014,Feb,Sat,0,Abuja,Kubwa,Armed Assault,Religious Figures/Institutions,Nigeria,Firearms
1980,2014,Mar,Sat,0,Kaduna,Ungwan Patachi,Armed Assault,Religious Figures/Institutions,Nigeria,Firearms
1981,2014,Apr,Tue,1,Bayelsa,Korokorosei,Hostage Taking (Kidnapping),Government (General),Nigeria,Firearms
1982,2014,Jun,Sun,0,Borno,Gwoza,Armed Assault,Private Citizens & Property,Nigeria,Firearms
1983,2014,Jun,Sun,0,Borno,Garkida,Bombing/Explosion,Transportation,Nigeria,Explosives
1984,2014,Jul,Tue,0,Borno,Marte district,Unknown,Private Citizens & Property,Nigeria,Unknown
1985,2014,Jul,Tue,0,Kaduna,Sanga district,Armed Assault,Private Citizens & Property,Nigeria,Firearms
1986,2014,Jul,Tue,1,Osun,Osogbo,Hostage Taking (Kidnapping),Journalists & Media,Nigeria,Firearms
1987,2014,Aug,Fri,0,Borno,Liman Kara,Armed Assault,Police,Nigeria,Firearms
1988,2014,Aug,Fri,0,Osun,Ede,Assassination,Government (General),Nigeria,Firearms
1989,2014,Oct,Wed,1,Borno,Baga,Hostage Taking (Kidnapping),Private Citizens & Property,Nigeria,Firearms
1990,2014,Oct,Wed,0,Plateau,Yelwa,Armed Assault,Private Citizens & Property,Nigeria,Firearms
1991,2014,Nov,Sat,0,Plateau,Babayo-Zarazong,Armed Assault,Private Citizens & Property,Nigeria,Firearms
1992,2014,Aug,Sat,0,Gombe,Tumu,Armed Assault,Police,Nigeria,Firearms
1993,2014,Aug,Sat,0,Borno,Marte,Armed Assault,Private Citizens & Property,Nigeria,Firearms
1994,2014,Aug,Sat,0,Borno,Marte,Armed Assault,Private Citizens & Property,Nigeria,Firearms
1995,2014,Aug,Sat,0,Borno,Marte,Armed Assault,Private Citizens & Property,Nigeria,Firearms
1996,2014,Aug,Sun,0,Borno,Marte,Hostage Taking (Kidnapping),Private Citizens & Property,Nigeria,Firearms
1997,2014,Aug,Sun,0,Borno,Marte district,Hostage Taking (Kidnapping),Private Citizens & Property,Nigeria,Firearms
1998,2014,Aug,Mon,0,Borno,Dikwa,Armed Assault,Private Citizens & Property,Nigeria,Firearms
1999,2014,Aug,Mon,0,Borno,Dikwa,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2000,2014,Aug,Mon,0,Lagos,Lagos,Bombing/Explosion,Government (General),Nigeria,Explosives
2001,2014,Aug,Wed,1,Borno,Liman Kara,Bombing/Explosion,Police,Nigeria,Explosives
2002,2014,Aug,Thu,0,Bauchi,Tilden Fulani,Armed Assault,Police,Nigeria,Firearms
2003,2014,Aug,Thu,0,Yobe,Buni Yadi,Hostage Taking (Kidnapping),Private Citizens & Property,Nigeria,Firearms
2004,2014,Aug,Thu,0,Borno,Pulka,Armed Assault,Private Citizens & Property,Nigeria,Explosives
2005,2014,Aug,Sat,1,Adamawa,Madagali,Hostage Taking (Kidnapping),Government (General),Nigeria,Explosives
2006,2014,Aug,Sun,0,Kaduna,Kaduna,Armed Assault,Police,Nigeria,Firearms
2007,2014,Aug,Sun,0,Jigawa,Sabon Garin Hyanbula,Facility/Infrastructure Attack,Religious Figures/Institutions,Nigeria,Incendiary
2008,2014,Aug,Sun,0,Taraba,Nbishu,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2009,2014,Aug,Sun,0,Taraba,Wumban,Armed Assault,Private Citizens & Property,Nigeria,Firearms
2010,2014,Aug,Mon,0,Borno,Gamboru,Bombing/Explosion,Private Citizens & Property,Nigeria,Explosives
2011,2014,Aug,Mon,0,Borno,Ashigashia,Armed Assault,Private Citizens & Property,Nigeria,Melee
2012,2014,Aug,Tue,0,Borno,Gamboru,Bombing/Explosion,Transportation,Nigeria,Explosives
2013,2014,Aug,Mon,0,Jigawa,Keffin Hausa,Unknown,Private Citizens & Property,Nigeria,Unknown
2014,2014,Aug,Mon,0,Kaduna,Ungwan Malam,Armed Assault,Private Citizens & Property,Nigeria,Firearms
